freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.069e+02,2.725e+01,1.695e+01,4.511e+02
1.6,2.387e+02,4.509e+01,4.167e+01,3.255e+02
3.2,3.976e+01,4.406e+01,4.671e+01,1.305e+02
4.8,4.000e+02,5.372e+01,4.364e+01,4.974e+02
6.4,1.269e+03,5.523e+01,4.229e+01,1.367e+03
7.9,2.110e+03,5.076e+01,4.615e+01,2.207e+03
9.5,3.100e+03,5.195e+01,3.916e+01,3.191e+03
11.1,3.997e+03,6.001e+01,4.872e+01,4.106e+03
12.7,5.099e+03,5.543e+01,5.113e+01,5.205e+03
14.3,6.614e+03,5.482e+01,4.888e+01,6.718e+03
15.9,8.550e+03,5.464e+01,4.640e+01,8.651e+03
17.5,1.101e+04,6.042e+01,4.886e+01,1.112e+04
19.1,1.270e+04,7.879e+01,5.003e+01,1.282e+04
20.7,1.429e+04,8.914e+01,3.970e+01,1.442e+04
22.2,1.780e+04,9.615e+01,4.110e+01,1.794e+04
23.8,2.157e+04,7.998e+01,5.320e+01,2.170e+04
25.4,2.611e+04,7.360e+01,5.892e+01,2.624e+04
27.0,3.090e+04,7.361e+01,6.203e+01,3.104e+04
28.6,3.646e+04,7.654e+01,7.517e+01,3.661e+04
30.2,4.395e+04,9.898e+01,8.559e+01,4.414e+04
31.8,5.370e+04,1.228e+02,1.044e+02,5.393e+04
33.4,6.531e+04,1.631e+02,1.607e+02,6.564e+04
35.0,8.174e+04,2.206e+02,1.917e+02,8.215e+04
36.5,1.046e+05,2.950e+02,2.296e+02,1.051e+05
38.1,1.319e+05,4.171e+02,3.235e+02,1.326e+05
39.7,1.464e+05,5.469e+02,3.952e+02,1.474e+05
41.3,1.191e+05,5.927e+02,2.788e+02,1.199e+05
42.9,1.083e+05,7.196e+02,2.480e+02,1.092e+05
44.5,1.313e+05,9.469e+02,4.222e+02,1.327e+05
46.1,1.739e+05,1.202e+03,7.855e+02,1.759e+05
47.7,2.352e+05,1.602e+03,1.369e+03,2.382e+05
49.2,3.335e+05,2.624e+03,3.043e+03,3.392e+05
50.8,5.077e+05,5.872e+03,1.158e+04,5.252e+05
52.4,7.346e+05,1.345e+04,2.960e+04,7.777e+05
54.0,7.639e+05,1.814e+04,2.505e+04,8.071e+05
55.6,7.576e+05,1.720e+04,9.520e+03,7.843e+05
57.2,6.723e+05,1.275e+04,5.368e+03,6.904e+05
58.8,6.582e+05,7.686e+03,3.924e+03,6.698e+05
60.4,7.862e+05,5.376e+03,3.661e+03,7.952e+05
62.0,8.343e+05,3.677e+03,3.557e+03,8.415e+05
63.5,8.317e+05,4.512e+03,4.108e+03,8.403e+05
65.1,8.478e+05,6.001e+03,3.219e+03,8.570e+05
66.7,6.507e+05,3.830e+03,2.805e+03,6.573e+05
68.3,4.598e+05,2.597e+03,4.138e+03,4.665e+05
69.9,3.318e+05,2.277e+03,4.794e+03,3.389e+05
71.5,2.187e+05,2.097e+03,5.728e+03,2.266e+05
73.1,1.700e+05,3.292e+03,9.460e+03,1.828e+05
74.7,1.879e+05,5.668e+03,1.495e+04,2.085e+05
76.3,2.707e+05,5.299e+03,1.878e+04,2.948e+05
77.8,3.639e+05,2.363e+03,1.584e+04,3.821e+05
79.4,4.083e+05,4.725e+03,7.294e+03,4.203e+05
81.0,3.741e+05,1.286e+04,2.933e+03,3.899e+05
82.6,3.014e+05,2.293e+04,2.449e+03,3.268e+05
84.2,2.168e+05,2.844e+04,1.942e+03,2.472e+05
85.8,1.583e+05,3.455e+04,1.946e+03,1.948e+05
87.4,2.083e+05,7.527e+04,4.312e+03,2.879e+05
89.0,2.871e+05,1.134e+05,6.976e+03,4.075e+05
90.6,3.146e+05,1.213e+05,7.784e+03,4.437e+05
92.1,3.228e+05,1.250e+05,8.910e+03,4.568e+05
93.7,3.424e+05,1.205e+05,8.894e+03,4.718e+05
95.3,3.045e+05,9.319e+04,6.469e+03,4.041e+05
96.9,2.215e+05,6.322e+04,4.345e+03,2.891e+05
98.5,1.828e+05,5.677e+04,4.179e+03,2.438e+05
100.1,1.834e+05,5.106e+04,4.126e+03,2.386e+05
101.7,1.710e+05,3.824e+04,3.542e+03,2.127e+05
103.3,1.610e+05,3.106e+04,3.903e+03,1.960e+05
104.9,1.502e+05,2.916e+04,4.770e+03,1.842e+05
106.4,1.376e+05,2.524e+04,4.770e+03,1.676e+05
108.0,1.325e+05,1.965e+04,4.484e+03,1.566e+05
109.6,1.283e+05,1.721e+04,4.757e+03,1.503e+05
111.2,1.181e+05,1.655e+04,5.099e+03,1.397e+05
112.8,1.020e+05,1.488e+04,5.176e+03,1.221e+05
114.4,9.027e+04,1.346e+04,5.268e+03,1.090e+05
116.0,8.268e+04,1.389e+04,5.277e+03,1.018e+05
117.6,7.480e+04,1.420e+04,5.179e+03,9.418e+04
119.2,6.717e+04,1.269e+04,4.743e+03,8.460e+04
120.7,6.305e+04,1.320e+04,4.948e+03,8.120e+04
122.3,6.268e+04,1.497e+04,6.432e+03,8.408e+04
123.9,6.569e+04,2.207e+04,9.314e+03,9.708e+04
125.5,6.497e+04,2.415e+04,1.080e+04,9.992e+04
127.1,5.944e+04,2.142e+04,1.089e+04,9.176e+04
128.7,5.563e+04,1.990e+04,1.059e+04,8.613e+04
130.3,5.417e+04,1.934e+04,1.131e+04,8.482e+04
131.9,4.503e+04,1.564e+04,1.000e+04,7.067e+04
133.5,1.488e+04,5.316e+03,3.513e+03,2.371e+04
135.0,1.708e+03,1.003e+03,5.511e+02,3.263e+03
136.6,1.296e+03,9.101e+02,4.432e+02,2.650e+03
138.2,9.321e+02,1.159e+03,4.720e+02,2.563e+03
139.8,5.994e+02,1.332e+03,4.149e+02,2.346e+03
141.4,6.282e+02,1.465e+03,3.651e+02,2.458e+03
143.0,5.879e+02,1.709e+03,3.938e+02,2.691e+03
144.6,5.121e+02,1.854e+03,3.824e+02,2.749e+03
146.2,5.072e+02,1.965e+03,3.999e+02,2.872e+03
147.7,4.381e+02,2.112e+03,4.751e+02,3.025e+03
149.3,3.892e+02,2.238e+03,5.543e+02,3.181e+03
150.9,3.200e+02,2.365e+03,5.814e+02,3.266e+03
152.5,3.196e+02,2.409e+03,6.797e+02,3.409e+03
154.1,4.578e+02,2.343e+03,8.086e+02,3.609e+03
155.7,5.279e+02,2.558e+03,9.200e+02,4.006e+03
