freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.086e+00,3.393e+02,2.734e+01,3.727e+02
1.6,2.116e+01,1.956e+02,2.846e+01,2.452e+02
3.2,2.283e+01,3.022e+01,1.576e+01,6.881e+01
4.8,2.274e+01,4.368e+02,1.669e+01,4.762e+02
6.3,2.530e+01,1.436e+03,1.651e+01,1.478e+03
7.9,2.554e+01,2.427e+03,1.747e+01,2.470e+03
9.5,2.414e+01,3.724e+03,2.122e+01,3.769e+03
11.1,3.198e+01,5.891e+03,2.315e+01,5.946e+03
12.7,3.721e+01,7.107e+03,2.639e+01,7.170e+03
14.3,2.837e+01,7.631e+03,2.860e+01,7.688e+03
15.9,2.669e+01,1.060e+04,3.142e+01,1.065e+04
17.5,2.852e+01,1.419e+04,4.089e+01,1.426e+04
19.0,2.953e+01,1.895e+04,5.626e+01,1.903e+04
20.6,3.450e+01,2.567e+04,8.832e+01,2.579e+04
22.2,5.229e+01,3.525e+04,1.488e+02,3.546e+04
23.8,1.005e+02,4.853e+04,2.353e+02,4.886e+04
25.4,1.462e+02,6.206e+04,3.016e+02,6.250e+04
27.0,1.163e+02,7.797e+04,4.574e+02,7.855e+04
28.6,7.725e+01,1.129e+05,9.595e+02,1.139e+05
30.2,5.297e+01,1.614e+05,1.618e+03,1.630e+05
31.7,7.784e+01,2.068e+05,1.216e+03,2.081e+05
33.3,1.026e+02,2.444e+05,1.721e+03,2.462e+05
34.9,1.581e+02,2.966e+05,4.404e+03,3.012e+05
36.5,2.894e+02,4.079e+05,9.173e+03,4.174e+05
38.1,4.449e+02,5.538e+05,1.674e+04,5.709e+05
39.7,3.956e+02,5.449e+05,2.223e+04,5.675e+05
41.3,3.481e+02,4.428e+05,2.410e+04,4.673e+05
42.8,3.161e+02,3.218e+05,2.323e+04,3.453e+05
44.4,2.193e+02,2.194e+05,2.097e+04,2.406e+05
46.0,1.723e+02,1.607e+05,1.802e+04,1.789e+05
47.6,1.928e+02,1.281e+05,1.650e+04,1.448e+05
49.2,3.424e+02,9.288e+04,1.962e+04,1.128e+05
50.8,4.372e+02,6.794e+04,2.267e+04,9.105e+04
52.4,4.181e+02,5.046e+04,2.430e+04,7.517e+04
54.0,4.570e+02,3.650e+04,2.432e+04,6.128e+04
55.5,5.699e+02,2.890e+04,2.442e+04,5.389e+04
57.1,1.041e+03,2.720e+04,2.592e+04,5.416e+04
58.7,1.651e+03,2.470e+04,3.155e+04,5.790e+04
60.3,4.419e+03,2.317e+04,3.689e+04,6.449e+04
61.9,1.979e+04,2.919e+04,4.394e+04,9.292e+04
63.5,2.033e+04,4.706e+04,5.920e+04,1.266e+05
65.1,6.011e+03,8.130e+04,7.796e+04,1.653e+05
66.6,3.484e+03,1.181e+05,8.458e+04,2.061e+05
68.2,1.807e+03,1.230e+05,7.151e+04,1.963e+05
69.8,1.724e+03,9.747e+04,4.752e+04,1.467e+05
71.4,3.020e+03,6.471e+04,2.597e+04,9.371e+04
73.0,3.323e+03,5.153e+04,1.506e+04,6.992e+04
74.6,2.363e+03,5.192e+04,1.215e+04,6.643e+04
76.2,2.228e+03,5.204e+04,1.280e+04,6.707e+04
