freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.279e+00,3.727e+02,2.158e+01,4.025e+02
1.6,2.512e+01,2.173e+02,2.514e+01,2.676e+02
3.2,2.392e+01,2.918e+01,1.704e+01,7.013e+01
4.8,2.527e+01,4.087e+02,1.982e+01,4.538e+02
6.4,2.996e+01,1.381e+03,1.858e+01,1.429e+03
7.9,5.571e+01,2.365e+03,1.657e+01,2.437e+03
9.5,1.156e+02,3.528e+03,1.687e+01,3.660e+03
11.1,1.069e+02,4.381e+03,1.761e+01,4.505e+03
12.7,7.626e+01,5.086e+03,1.622e+01,5.179e+03
14.3,5.153e+01,7.797e+03,1.582e+01,7.865e+03
15.9,4.679e+01,1.083e+04,1.756e+01,1.089e+04
17.5,5.419e+01,1.420e+04,1.686e+01,1.427e+04
19.1,6.171e+01,1.876e+04,1.734e+01,1.884e+04
20.6,8.261e+01,2.556e+04,2.411e+01,2.567e+04
22.2,1.795e+02,3.756e+04,5.994e+01,3.780e+04
23.8,4.030e+02,4.922e+04,1.456e+02,4.977e+04
25.4,3.646e+02,3.368e+04,1.374e+02,3.418e+04
27.0,1.429e+02,3.160e+04,5.574e+01,3.179e+04
28.6,6.694e+01,4.802e+04,4.629e+01,4.813e+04
30.2,5.314e+01,6.707e+04,1.246e+02,6.724e+04
31.8,6.202e+01,9.066e+04,2.891e+02,9.102e+04
33.3,8.651e+01,1.236e+05,4.101e+02,1.241e+05
34.9,1.321e+02,1.716e+05,5.015e+02,1.722e+05
36.5,1.580e+02,2.473e+05,7.730e+02,2.482e+05
38.1,1.772e+02,3.961e+05,1.690e+03,3.980e+05
39.7,1.907e+02,6.729e+05,4.680e+03,6.778e+05
41.3,1.733e+02,9.140e+05,1.024e+04,9.244e+05
42.9,2.166e+02,7.934e+05,1.273e+04,8.063e+05
44.5,3.015e+02,5.467e+05,1.279e+04,5.598e+05
46.0,3.869e+02,3.767e+05,1.304e+04,3.902e+05
47.6,4.728e+02,2.654e+05,1.339e+04,2.793e+05
49.2,5.675e+02,1.961e+05,1.529e+04,2.120e+05
50.8,8.051e+02,1.559e+05,2.034e+04,1.771e+05
52.4,9.308e+02,1.152e+05,2.607e+04,1.422e+05
54.0,9.627e+02,8.137e+04,2.590e+04,1.082e+05
55.6,1.182e+03,5.827e+04,2.168e+04,8.114e+04
57.2,1.719e+03,4.165e+04,2.502e+04,6.839e+04
58.7,2.725e+03,2.665e+04,3.769e+04,6.707e+04
60.3,3.423e+03,1.686e+04,5.735e+04,7.763e+04
61.9,3.257e+03,2.067e+04,7.525e+04,9.917e+04
63.5,3.012e+03,3.705e+04,8.343e+04,1.235e+05
65.1,4.982e+03,5.491e+04,7.830e+04,1.382e+05
66.7,8.452e+03,5.800e+04,5.389e+04,1.203e+05
68.3,1.132e+04,4.643e+04,2.996e+04,8.771e+04
69.9,1.082e+04,3.953e+04,2.158e+04,7.193e+04
71.4,9.853e+03,3.515e+04,1.675e+04,6.175e+04
73.0,6.205e+03,3.273e+04,1.497e+04,5.390e+04
74.6,2.756e+03,3.643e+04,1.782e+04,5.701e+04
76.2,1.586e+03,4.025e+04,1.854e+04,6.037e+04
77.8,1.097e+03,3.862e+04,1.574e+04,5.546e+04
79.4,8.519e+02,3.540e+04,1.329e+04,4.954e+04
81.0,8.854e+02,3.230e+04,1.192e+04,4.511e+04
82.6,1.053e+03,2.657e+04,1.036e+04,3.799e+04
84.1,1.045e+03,1.970e+04,8.922e+03,2.967e+04
85.7,9.630e+02,1.470e+04,7.958e+03,2.363e+04
87.3,7.434e+02,1.283e+04,6.529e+03,2.011e+04
88.9,6.720e+02,1.587e+04,4.362e+03,2.091e+04
90.5,6.340e+02,2.531e+04,2.462e+03,2.841e+04
92.1,6.726e+02,3.676e+04,1.548e+03,3.898e+04
93.7,8.395e+02,4.400e+04,1.263e+03,4.610e+04
95.3,1.288e+03,5.271e+04,1.176e+03,5.517e+04
96.8,1.219e+03,5.377e+04,1.391e+03,5.638e+04
98.4,1.270e+03,4.838e+04,1.258e+03,5.091e+04
100.0,1.693e+03,4.076e+04,9.220e+02,4.337e+04
101.6,1.886e+03,3.375e+04,6.976e+02,3.633e+04
103.2,2.870e+03,2.714e+04,5.787e+02,3.059e+04
104.8,3.735e+03,2.057e+04,8.876e+02,2.519e+04
106.4,3.758e+03,2.048e+04,2.012e+03,2.625e+04
108.0,2.872e+03,2.678e+04,2.983e+03,3.263e+04
109.5,2.170e+03,5.768e+04,3.839e+03,6.368e+04
111.1,1.953e+03,8.152e+04,4.494e+03,8.797e+04
112.7,1.992e+03,8.161e+04,4.138e+03,8.774e+04
114.3,2.055e+03,7.860e+04,3.603e+03,8.426e+04
115.9,2.311e+03,8.745e+04,3.790e+03,9.355e+04
117.5,2.436e+03,9.185e+04,3.862e+03,9.815e+04
119.1,2.392e+03,9.058e+04,3.708e+03,9.668e+04
120.7,2.375e+03,8.636e+04,3.454e+03,9.219e+04
122.2,2.534e+03,8.214e+04,3.141e+03,8.782e+04
123.8,2.598e+03,7.499e+04,2.654e+03,8.024e+04
125.4,2.555e+03,6.709e+04,2.146e+03,7.179e+04
127.0,2.564e+03,5.963e+04,1.770e+03,6.396e+04
128.6,2.565e+03,5.244e+04,1.450e+03,5.646e+04
130.2,2.569e+03,4.481e+04,1.196e+03,4.858e+04
131.8,2.364e+03,3.329e+04,9.161e+02,3.657e+04
133.4,1.592e+03,1.334e+04,4.886e+02,1.543e+04
134.9,1.288e+03,3.784e+03,2.965e+02,5.368e+03
136.5,1.352e+03,3.845e+03,2.994e+02,5.496e+03
138.1,1.395e+03,4.220e+03,3.140e+02,5.929e+03
139.7,1.353e+03,4.331e+03,3.312e+02,6.014e+03
141.3,1.395e+03,4.588e+03,3.672e+02,6.351e+03
142.9,1.336e+03,4.518e+03,3.814e+02,6.235e+03
144.5,1.235e+03,3.877e+03,3.370e+02,5.449e+03
146.1,1.175e+03,3.081e+03,3.108e+02,4.567e+03
147.6,1.065e+03,2.454e+03,3.222e+02,3.840e+03
149.2,1.040e+03,2.166e+03,3.644e+02,3.571e+03
150.8,9.826e+02,2.039e+03,3.936e+02,3.415e+03
152.4,7.635e+02,1.912e+03,3.473e+02,3.022e+03
154.0,7.145e+02,1.885e+03,3.238e+02,2.923e+03
155.6,5.975e+02,1.797e+03,2.733e+02,2.668e+03
157.2,4.611e+02,1.828e+03,2.517e+02,2.541e+03
158.8,3.710e+02,1.926e+03,2.487e+02,2.546e+03
160.3,3.278e+02,1.911e+03,2.652e+02,2.504e+03
161.9,3.226e+02,1.876e+03,2.590e+02,2.457e+03
163.5,3.355e+02,1.793e+03,2.357e+02,2.365e+03
165.1,3.686e+02,1.734e+03,2.935e+02,2.396e+03
166.7,3.619e+02,1.670e+03,4.044e+02,2.436e+03
168.3,3.442e+02,1.638e+03,4.285e+02,2.411e+03
169.9,3.173e+02,1.650e+03,4.145e+02,2.382e+03
171.5,3.922e+02,1.602e+03,4.326e+02,2.427e+03
173.0,5.408e+02,1.435e+03,3.987e+02,2.374e+03
174.6,7.561e+02,1.343e+03,3.954e+02,2.494e+03
176.2,9.245e+02,1.299e+03,4.442e+02,2.668e+03
177.8,9.750e+02,1.361e+03,4.966e+02,2.833e+03
179.4,9.797e+02,1.479e+03,5.530e+02,3.012e+03
181.0,9.978e+02,1.643e+03,6.279e+02,3.268e+03
182.6,1.046e+03,1.889e+03,6.855e+02,3.621e+03
184.2,1.129e+03,2.088e+03,7.360e+02,3.953e+03
185.7,1.293e+03,2.165e+03,7.703e+02,4.229e+03
187.3,1.532e+03,2.285e+03,8.274e+02,4.644e+03
188.9,1.824e+03,2.502e+03,9.085e+02,5.234e+03
190.5,1.824e+03,2.495e+03,8.578e+02,5.177e+03
192.1,1.753e+03,2.569e+03,7.878e+02,5.110e+03
193.7,1.728e+03,2.552e+03,8.481e+02,5.128e+03
195.3,1.604e+03,2.410e+03,9.374e+02,4.952e+03
196.9,1.522e+03,2.274e+03,1.036e+03,4.832e+03
198.4,1.552e+03,2.294e+03,1.076e+03,4.922e+03
