freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.012e+01,2.730e+02,5.000e+01,3.332e+02
1.6,2.082e+01,1.678e+02,4.309e+01,2.317e+02
3.2,2.083e+01,3.535e+01,2.135e+01,7.753e+01
4.8,2.186e+01,4.290e+02,2.123e+01,4.721e+02
6.4,2.434e+01,1.410e+03,2.251e+01,1.457e+03
7.9,2.412e+01,2.389e+03,2.353e+01,2.437e+03
9.5,2.792e+01,3.554e+03,2.450e+01,3.606e+03
11.1,3.670e+01,5.639e+03,2.648e+01,5.702e+03
12.7,8.834e+01,7.964e+03,2.771e+01,8.080e+03
14.3,1.034e+02,7.397e+03,2.861e+01,7.529e+03
15.9,6.880e+01,9.676e+03,3.716e+01,9.782e+03
17.5,8.306e+01,1.310e+04,5.253e+01,1.324e+04
19.1,1.060e+02,1.720e+04,5.852e+01,1.736e+04
20.7,6.050e+01,2.416e+04,8.158e+01,2.431e+04
22.2,1.155e+02,3.118e+04,1.183e+02,3.142e+04
23.8,1.764e+02,3.073e+04,1.225e+02,3.103e+04
25.4,1.218e+02,4.053e+04,2.056e+02,4.085e+04
27.0,1.126e+02,5.714e+04,3.834e+02,5.764e+04
28.6,1.435e+02,7.866e+04,7.311e+02,7.954e+04
30.2,1.614e+02,1.102e+05,1.394e+03,1.118e+05
31.8,1.529e+02,1.533e+05,2.532e+03,1.560e+05
33.4,1.521e+02,2.095e+05,4.174e+03,2.138e+05
35.0,2.802e+02,2.766e+05,6.944e+03,2.838e+05
36.5,6.312e+02,3.712e+05,1.224e+04,3.840e+05
38.1,8.265e+02,4.755e+05,2.176e+04,4.981e+05
39.7,1.518e+03,4.603e+05,2.750e+04,4.893e+05
41.3,1.874e+03,3.500e+05,2.671e+04,3.785e+05
42.9,1.225e+03,2.713e+05,2.868e+04,3.013e+05
44.5,7.106e+02,2.107e+05,3.225e+04,2.436e+05
46.1,5.352e+02,1.636e+05,3.662e+04,2.008e+05
47.7,6.130e+02,1.289e+05,4.556e+04,1.751e+05
49.3,6.524e+02,9.637e+04,5.749e+04,1.545e+05
50.8,7.729e+02,7.045e+04,6.411e+04,1.353e+05
52.4,1.366e+03,5.203e+04,7.176e+04,1.252e+05
54.0,2.479e+03,3.837e+04,7.528e+04,1.161e+05
55.6,3.431e+03,2.334e+04,7.586e+04,1.026e+05
57.2,4.379e+03,1.727e+04,8.310e+04,1.048e+05
58.8,4.758e+03,2.008e+04,8.932e+04,1.142e+05
60.4,4.931e+03,2.871e+04,9.662e+04,1.303e+05
62.0,4.940e+03,4.948e+04,1.128e+05,1.672e+05
63.6,4.613e+03,8.105e+04,1.308e+05,2.165e+05
65.1,6.401e+03,1.230e+05,1.467e+05,2.761e+05
66.7,5.909e+03,1.541e+05,1.469e+05,3.069e+05
68.3,4.286e+03,1.270e+05,1.065e+05,2.378e+05
69.9,3.361e+03,8.266e+04,6.097e+04,1.470e+05
71.5,2.710e+03,6.251e+04,3.803e+04,1.033e+05
73.1,1.581e+03,7.115e+04,3.528e+04,1.080e+05
74.7,1.007e+03,8.519e+04,3.803e+04,1.242e+05
76.3,1.238e+03,8.324e+04,3.727e+04,1.217e+05
77.8,2.358e+03,6.150e+04,2.937e+04,9.323e+04
79.4,1.820e+03,3.889e+04,1.736e+04,5.806e+04
81.0,1.393e+03,2.890e+04,9.692e+03,3.998e+04
82.6,1.845e+03,2.523e+04,7.097e+03,3.417e+04
84.2,2.294e+03,2.568e+04,6.188e+03,3.416e+04
85.8,2.640e+03,3.157e+04,6.456e+03,4.066e+04
87.4,2.937e+03,4.114e+04,6.453e+03,5.053e+04
89.0,3.584e+03,4.607e+04,5.955e+03,5.561e+04
90.6,2.724e+03,4.978e+04,5.635e+03,5.814e+04
92.1,1.197e+03,5.900e+04,5.849e+03,6.605e+04
93.7,1.120e+03,6.387e+04,5.470e+03,7.046e+04
95.3,1.353e+03,6.168e+04,4.842e+03,6.788e+04
96.9,2.003e+03,6.385e+04,4.301e+03,7.015e+04
98.5,2.208e+03,7.146e+04,3.563e+03,7.723e+04
100.1,2.184e+03,7.916e+04,3.226e+03,8.457e+04
101.7,2.527e+03,8.604e+04,3.323e+03,9.189e+04
103.3,3.015e+03,8.239e+04,3.153e+03,8.856e+04
