freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.560e+02,1.669e+01,2.164e+01,6.943e+02
1.6,3.905e+02,2.704e+01,7.489e+01,4.925e+02
3.2,3.798e+01,2.578e+01,9.928e+01,1.631e+02
4.8,4.120e+02,3.224e+01,1.010e+02,5.451e+02
6.3,1.323e+03,3.168e+01,9.630e+01,1.451e+03
7.9,2.151e+03,3.703e+01,1.067e+02,2.295e+03
9.5,2.987e+03,6.331e+01,9.690e+01,3.147e+03
11.1,3.998e+03,6.778e+01,9.689e+01,4.163e+03
12.7,5.274e+03,4.278e+01,9.115e+01,5.408e+03
14.3,6.867e+03,2.960e+01,8.759e+01,6.985e+03
15.9,8.775e+03,3.488e+01,8.437e+01,8.895e+03
17.5,1.096e+04,4.071e+01,8.832e+01,1.109e+04
19.0,1.399e+04,4.680e+01,9.246e+01,1.413e+04
20.6,1.839e+04,5.426e+01,1.020e+02,1.855e+04
22.2,2.283e+04,7.165e+01,1.393e+02,2.304e+04
23.8,2.174e+04,1.110e+02,1.457e+02,2.199e+04
25.4,2.172e+04,1.069e+02,1.071e+02,2.193e+04
27.0,2.650e+04,5.506e+01,7.084e+01,2.662e+04
28.6,3.285e+04,6.088e+01,6.375e+01,3.297e+04
30.2,4.009e+04,8.061e+01,7.754e+01,4.025e+04
31.7,4.871e+04,9.964e+01,9.444e+01,4.890e+04
33.3,5.677e+04,1.289e+02,1.868e+02,5.709e+04
34.9,6.165e+04,2.031e+02,3.256e+02,6.218e+04
36.5,6.715e+04,2.834e+02,3.712e+02,6.781e+04
38.1,7.640e+04,3.412e+02,3.592e+02,7.710e+04
39.7,8.865e+04,4.237e+02,3.849e+02,8.946e+04
41.3,1.059e+05,5.332e+02,4.224e+02,1.069e+05
42.8,1.290e+05,6.797e+02,4.787e+02,1.302e+05
44.4,1.601e+05,9.206e+02,5.891e+02,1.616e+05
46.0,2.040e+05,1.217e+03,7.854e+02,2.060e+05
47.6,2.560e+05,1.643e+03,8.757e+02,2.585e+05
49.2,3.248e+05,2.392e+03,1.049e+03,3.282e+05
50.8,4.398e+05,3.905e+03,2.505e+03,4.462e+05
52.4,6.367e+05,6.908e+03,6.739e+03,6.504e+05
54.0,1.018e+06,1.177e+04,1.023e+04,1.040e+06
55.5,1.445e+06,1.608e+04,9.066e+03,1.470e+06
57.1,1.676e+06,1.766e+04,1.407e+04,1.708e+06
58.7,1.964e+06,1.935e+04,2.106e+04,2.004e+06
60.3,2.349e+06,2.568e+04,2.264e+04,2.397e+06
61.9,2.367e+06,2.752e+04,2.396e+04,2.419e+06
63.5,2.024e+06,2.294e+04,1.913e+04,2.066e+06
65.1,1.771e+06,2.081e+04,1.341e+04,1.806e+06
66.6,1.416e+06,1.841e+04,9.810e+03,1.444e+06
68.2,1.069e+06,1.597e+04,8.507e+03,1.093e+06
69.8,7.861e+05,1.316e+04,8.040e+03,8.073e+05
71.4,5.776e+05,9.173e+03,5.449e+03,5.922e+05
73.0,4.219e+05,6.071e+03,3.152e+03,4.312e+05
74.6,3.143e+05,4.491e+03,2.176e+03,3.210e+05
76.2,2.325e+05,3.607e+03,1.989e+03,2.381e+05
77.8,1.676e+05,2.724e+03,1.356e+03,1.717e+05
79.3,1.217e+05,2.262e+03,5.410e+02,1.245e+05
80.9,8.516e+04,1.751e+03,5.063e+02,8.742e+04
82.5,5.719e+04,9.454e+02,6.298e+02,5.877e+04
84.1,3.935e+04,3.834e+02,1.071e+03,4.080e+04
85.7,2.912e+04,2.352e+02,1.947e+03,3.130e+04
87.3,2.973e+04,7.881e+02,2.344e+03,3.286e+04
88.9,4.896e+04,3.317e+03,2.746e+03,5.502e+04
90.5,9.258e+04,8.702e+03,4.048e+03,1.053e+05
92.0,1.943e+05,1.767e+04,5.664e+03,2.176e+05
93.6,2.769e+05,2.523e+04,6.388e+03,3.085e+05
95.2,2.856e+05,2.783e+04,5.873e+03,3.193e+05
96.8,2.797e+05,3.251e+04,5.452e+03,3.177e+05
98.4,3.069e+05,4.047e+04,4.927e+03,3.523e+05
100.0,2.990e+05,4.358e+04,3.792e+03,3.464e+05
101.6,2.562e+05,4.068e+04,2.868e+03,2.998e+05
103.1,2.282e+05,3.334e+04,2.002e+03,2.635e+05
104.7,2.336e+05,3.912e+04,1.577e+03,2.743e+05
106.3,2.066e+05,4.136e+04,1.300e+03,2.492e+05
107.9,1.735e+05,3.892e+04,1.095e+03,2.135e+05
109.5,1.616e+05,4.311e+04,1.396e+03,2.061e+05
111.1,1.436e+05,3.620e+04,1.559e+03,1.813e+05
112.7,1.243e+05,2.897e+04,1.734e+03,1.550e+05
114.3,1.136e+05,2.082e+04,1.767e+03,1.362e+05
115.8,1.083e+05,1.428e+04,2.824e+03,1.254e+05
117.4,1.006e+05,1.865e+04,4.587e+03,1.238e+05
119.0,9.077e+04,2.336e+04,5.579e+03,1.197e+05
120.6,8.149e+04,2.313e+04,5.710e+03,1.103e+05
122.2,7.417e+04,1.957e+04,5.657e+03,9.940e+04
