freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.819e+01,3.193e+02,5.668e+01,3.942e+02
1.6,3.232e+01,2.150e+02,1.405e+02,3.878e+02
3.2,2.777e+01,6.669e+01,1.573e+02,2.518e+02
4.8,2.657e+01,4.738e+02,1.626e+02,6.629e+02
6.3,3.055e+01,1.472e+03,1.350e+02,1.637e+03
7.9,4.841e+01,2.502e+03,1.754e+02,2.726e+03
9.5,8.857e+01,3.796e+03,1.829e+02,4.068e+03
11.1,8.143e+01,5.777e+03,1.922e+02,6.051e+03
12.7,5.843e+01,6.788e+03,2.210e+02,7.068e+03
14.3,4.704e+01,7.498e+03,2.411e+02,7.786e+03
15.9,5.329e+01,1.056e+04,2.427e+02,1.086e+04
17.5,6.111e+01,1.428e+04,2.423e+02,1.458e+04
19.0,7.023e+01,1.899e+04,2.341e+02,1.930e+04
20.6,9.140e+01,2.542e+04,2.511e+02,2.576e+04
22.2,9.197e+01,3.263e+04,3.011e+02,3.302e+04
23.8,6.072e+01,4.106e+04,3.945e+02,4.151e+04
25.4,4.667e+01,5.366e+04,5.275e+02,5.424e+04
27.0,4.095e+01,7.290e+04,7.720e+02,7.371e+04
28.6,3.592e+01,1.010e+05,1.275e+03,1.023e+05
30.2,3.135e+01,1.357e+05,1.818e+03,1.376e+05
31.7,3.626e+01,1.727e+05,2.066e+03,1.748e+05
33.3,5.082e+01,1.978e+05,2.842e+03,2.007e+05
34.9,1.017e+02,2.326e+05,5.136e+03,2.379e+05
36.5,3.380e+02,3.232e+05,9.706e+03,3.332e+05
38.1,1.083e+03,4.334e+05,1.627e+04,4.508e+05
39.7,1.355e+03,3.999e+05,2.039e+04,4.217e+05
41.3,6.522e+02,2.816e+05,2.014e+04,3.024e+05
42.9,7.161e+02,2.181e+05,2.129e+04,2.401e+05
44.4,7.017e+02,1.772e+05,2.126e+04,1.991e+05
46.0,7.477e+02,1.342e+05,2.152e+04,1.565e+05
47.6,5.906e+02,1.015e+05,2.373e+04,1.258e+05
49.2,4.771e+02,8.357e+04,2.956e+04,1.136e+05
50.8,3.868e+02,6.853e+04,3.647e+04,1.054e+05
52.4,3.896e+02,5.313e+04,4.109e+04,9.461e+04
54.0,3.462e+02,4.093e+04,4.358e+04,8.486e+04
55.6,5.602e+02,3.679e+04,5.144e+04,8.879e+04
57.1,8.721e+02,4.165e+04,6.645e+04,1.090e+05
58.7,2.100e+03,5.418e+04,8.244e+04,1.387e+05
60.3,3.259e+03,6.596e+04,8.353e+04,1.527e+05
61.9,3.848e+03,8.419e+04,9.610e+04,1.841e+05
63.5,4.993e+03,1.303e+05,1.279e+05,2.632e+05
65.1,5.866e+03,1.948e+05,1.518e+05,3.525e+05
66.7,4.510e+03,2.487e+05,1.521e+05,4.053e+05
68.3,2.486e+03,2.366e+05,1.176e+05,3.567e+05
69.8,1.937e+03,1.776e+05,7.665e+04,2.562e+05
71.4,1.864e+03,1.227e+05,4.704e+04,1.716e+05
73.0,1.474e+03,8.908e+04,3.128e+04,1.218e+05
74.6,1.606e+03,6.970e+04,2.286e+04,9.417e+04
76.2,3.097e+03,5.733e+04,1.806e+04,7.849e+04
77.8,6.555e+03,4.639e+04,1.329e+04,6.623e+04
79.4,7.575e+03,3.426e+04,8.223e+03,5.006e+04
81.0,7.069e+03,2.842e+04,5.591e+03,4.108e+04
82.5,6.431e+03,3.297e+04,4.679e+03,4.408e+04
84.1,9.090e+03,4.140e+04,5.384e+03,5.587e+04
85.7,1.129e+04,3.720e+04,6.328e+03,5.482e+04
87.3,7.261e+03,5.209e+04,7.480e+03,6.683e+04
88.9,7.196e+03,7.248e+04,7.974e+03,8.765e+04
90.5,7.903e+03,8.326e+04,7.959e+03,9.912e+04
92.1,5.741e+03,1.045e+05,8.445e+03,1.187e+05
93.6,6.072e+03,1.032e+05,8.018e+03,1.173e+05
95.2,6.925e+03,9.307e+04,7.231e+03,1.072e+05
96.8,6.471e+03,8.486e+04,6.141e+03,9.747e+04
98.4,5.793e+03,7.674e+04,5.096e+03,8.763e+04
100.0,5.621e+03,7.550e+04,4.859e+03,8.598e+04
101.6,5.411e+03,7.369e+04,4.410e+03,8.351e+04
103.2,4.936e+03,6.913e+04,3.827e+03,7.789e+04
104.8,4.406e+03,6.716e+04,3.252e+03,7.481e+04
106.3,3.757e+03,6.379e+04,3.021e+03,7.057e+04
107.9,3.589e+03,5.828e+04,2.820e+03,6.468e+04
109.5,3.574e+03,5.388e+04,2.641e+03,6.009e+04
111.1,3.479e+03,4.943e+04,2.413e+03,5.532e+04
112.7,3.398e+03,4.383e+04,2.239e+03,4.947e+04
114.3,3.485e+03,4.062e+04,2.211e+03,4.632e+04
115.9,3.677e+03,3.942e+04,2.325e+03,4.542e+04
117.5,3.583e+03,3.815e+04,2.334e+03,4.406e+04
119.0,3.435e+03,3.692e+04,2.225e+03,4.258e+04
120.6,3.562e+03,3.577e+04,2.024e+03,4.136e+04
122.2,3.961e+03,3.494e+04,1.846e+03,4.075e+04
123.8,4.446e+03,3.325e+04,1.621e+03,3.931e+04
125.4,4.356e+03,3.087e+04,1.277e+03,3.650e+04
127.0,4.084e+03,2.955e+04,1.010e+03,3.464e+04
128.6,3.941e+03,3.086e+04,9.641e+02,3.577e+04
130.2,3.286e+03,3.072e+04,9.662e+02,3.497e+04
131.7,2.414e+03,2.733e+04,8.876e+02,3.063e+04
133.3,1.468e+03,1.310e+04,8.425e+02,1.542e+04
134.9,9.862e+02,4.048e+03,1.023e+03,6.057e+03
136.5,9.595e+02,3.844e+03,1.281e+03,6.084e+03
138.1,1.057e+03,4.090e+03,1.365e+03,6.511e+03
139.7,1.234e+03,4.327e+03,1.285e+03,6.847e+03
141.3,1.387e+03,4.358e+03,1.284e+03,7.029e+03
142.9,1.541e+03,4.624e+03,1.349e+03,7.514e+03
144.4,1.705e+03,4.299e+03,1.374e+03,7.378e+03
