freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.741e+02,3.669e+01,3.174e+01,5.425e+02
1.6,2.760e+02,1.189e+02,1.569e+02,5.519e+02
3.2,3.853e+01,1.110e+02,1.574e+02,3.069e+02
4.8,4.023e+02,7.842e+01,1.724e+02,6.531e+02
6.3,1.280e+03,9.420e+01,1.662e+02,1.540e+03
7.9,2.139e+03,1.005e+02,1.761e+02,2.415e+03
9.5,3.064e+03,1.003e+02,1.855e+02,3.349e+03
11.1,3.857e+03,1.019e+02,1.834e+02,4.142e+03
12.7,4.996e+03,1.025e+02,1.800e+02,5.279e+03
14.3,6.534e+03,9.927e+01,1.736e+02,6.807e+03
15.9,8.484e+03,9.730e+01,1.731e+02,8.755e+03
17.5,1.096e+04,9.760e+01,1.903e+02,1.125e+04
19.0,1.363e+04,9.234e+01,1.757e+02,1.390e+04
20.6,1.660e+04,9.399e+01,1.694e+02,1.686e+04
22.2,2.044e+04,1.074e+02,1.757e+02,2.073e+04
23.8,2.376e+04,1.329e+02,1.882e+02,2.409e+04
25.4,2.522e+04,1.453e+02,1.802e+02,2.555e+04
27.0,2.806e+04,1.321e+02,1.743e+02,2.837e+04
28.6,3.398e+04,1.255e+02,1.755e+02,3.428e+04
30.2,4.177e+04,1.353e+02,1.563e+02,4.206e+04
31.7,5.069e+04,1.552e+02,2.235e+02,5.107e+04
33.3,5.994e+04,1.694e+02,3.392e+02,6.045e+04
34.9,7.210e+04,2.474e+02,3.787e+02,7.273e+04
36.5,8.755e+04,3.386e+02,3.848e+02,8.827e+04
38.1,1.059e+05,3.794e+02,4.078e+02,1.067e+05
39.7,1.331e+05,5.049e+02,5.205e+02,1.341e+05
41.3,1.596e+05,6.910e+02,6.826e+02,1.610e+05
42.9,1.894e+05,9.336e+02,1.041e+03,1.914e+05
44.4,2.340e+05,1.191e+03,1.987e+03,2.372e+05
46.0,2.740e+05,1.581e+03,2.855e+03,2.784e+05
47.6,3.010e+05,2.520e+03,3.347e+03,3.069e+05
49.2,3.330e+05,3.740e+03,5.674e+03,3.425e+05
50.8,3.450e+05,5.374e+03,8.813e+03,3.592e+05
52.4,3.476e+05,5.829e+03,9.924e+03,3.633e+05
54.0,3.693e+05,5.247e+03,9.039e+03,3.836e+05
55.6,3.904e+05,4.162e+03,7.311e+03,4.018e+05
57.1,3.811e+05,3.334e+03,4.668e+03,3.891e+05
58.7,3.715e+05,1.986e+03,2.934e+03,3.764e+05
60.3,4.272e+05,8.638e+02,1.445e+03,4.296e+05
61.9,5.692e+05,9.543e+02,9.122e+02,5.711e+05
63.5,8.040e+05,1.624e+03,1.081e+03,8.067e+05
65.1,1.016e+06,1.592e+03,1.140e+03,1.019e+06
66.7,1.125e+06,2.737e+03,1.016e+03,1.128e+06
68.3,1.150e+06,7.687e+03,1.663e+03,1.159e+06
69.8,1.164e+06,1.353e+04,2.230e+03,1.180e+06
71.4,1.165e+06,1.871e+04,2.312e+03,1.186e+06
73.0,1.117e+06,2.398e+04,3.402e+03,1.144e+06
74.6,1.099e+06,3.012e+04,4.294e+03,1.133e+06
76.2,1.102e+06,3.576e+04,5.082e+03,1.143e+06
77.8,9.713e+05,3.090e+04,4.212e+03,1.006e+06
79.4,7.285e+05,2.547e+04,3.010e+03,7.570e+05
81.0,5.586e+05,2.386e+04,2.259e+03,5.847e+05
82.5,4.511e+05,1.848e+04,1.893e+03,4.715e+05
84.1,4.243e+05,2.180e+04,1.608e+03,4.477e+05
85.7,4.260e+05,3.159e+04,9.835e+02,4.586e+05
87.3,4.295e+05,3.471e+04,6.141e+02,4.648e+05
88.9,4.188e+05,3.779e+04,4.212e+02,4.570e+05
90.5,3.697e+05,4.014e+04,5.230e+02,4.103e+05
92.1,3.250e+05,5.502e+04,1.075e+03,3.811e+05
93.7,2.935e+05,6.200e+04,1.491e+03,3.570e+05
95.2,2.665e+05,6.207e+04,1.709e+03,3.303e+05
96.8,2.314e+05,5.964e+04,1.886e+03,2.930e+05
98.4,1.934e+05,5.462e+04,2.044e+03,2.500e+05
100.0,1.663e+05,5.067e+04,1.705e+03,2.187e+05
101.6,1.454e+05,4.361e+04,1.611e+03,1.906e+05
103.2,1.229e+05,3.482e+04,1.569e+03,1.593e+05
104.8,1.021e+05,2.815e+04,1.761e+03,1.320e+05
106.4,8.821e+04,2.340e+04,2.011e+03,1.136e+05
107.9,8.320e+04,1.902e+04,2.283e+03,1.045e+05
109.5,7.940e+04,1.468e+04,2.697e+03,9.678e+04
111.1,6.907e+04,1.067e+04,3.065e+03,8.280e+04
112.7,5.211e+04,7.174e+03,3.410e+03,6.270e+04
114.3,4.102e+04,4.985e+03,3.907e+03,4.991e+04
115.9,3.530e+04,3.535e+03,4.495e+03,4.333e+04
117.5,3.132e+04,3.102e+03,5.423e+03,3.984e+04
119.1,2.924e+04,3.715e+03,6.391e+03,3.935e+04
120.6,2.883e+04,4.771e+03,8.076e+03,4.168e+04
122.2,3.128e+04,6.603e+03,1.067e+04,4.856e+04
123.8,3.406e+04,9.146e+03,1.283e+04,5.603e+04
125.4,3.396e+04,1.181e+04,1.401e+04,5.978e+04
127.0,2.430e+04,1.123e+04,1.284e+04,4.837e+04
128.6,1.676e+04,1.010e+04,1.121e+04,3.807e+04
130.2,1.503e+04,1.097e+04,1.222e+04,3.821e+04
