freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.744e+01,1.662e+02,2.872e+01,2.123e+02
1.6,3.327e+01,1.043e+02,3.956e+01,1.771e+02
3.2,2.471e+01,2.976e+01,3.079e+01,8.526e+01
4.7,2.128e+01,3.815e+02,3.219e+01,4.350e+02
6.3,2.374e+01,1.345e+03,3.441e+01,1.403e+03
7.9,2.371e+01,2.282e+03,3.456e+01,2.340e+03
9.5,2.463e+01,3.507e+03,3.384e+01,3.565e+03
11.0,3.168e+01,5.781e+03,3.738e+01,5.850e+03
12.6,4.065e+01,7.419e+03,3.732e+01,7.497e+03
14.2,3.510e+01,8.941e+03,3.421e+01,9.011e+03
15.8,3.350e+01,1.190e+04,3.751e+01,1.197e+04
17.3,4.336e+01,1.512e+04,4.457e+01,1.521e+04
18.9,4.920e+01,1.912e+04,5.347e+01,1.922e+04
20.5,4.620e+01,2.469e+04,7.368e+01,2.481e+04
22.1,4.083e+01,3.310e+04,1.052e+02,3.325e+04
23.6,4.380e+01,4.327e+04,1.631e+02,4.348e+04
25.2,4.854e+01,5.245e+04,2.239e+02,5.272e+04
26.8,4.643e+01,5.871e+04,2.829e+02,5.904e+04
28.4,5.990e+01,6.891e+04,4.078e+02,6.937e+04
29.9,1.008e+02,8.289e+04,4.996e+02,8.349e+04
31.5,1.114e+02,9.775e+04,3.594e+02,9.822e+04
33.1,1.591e+02,1.116e+05,4.339e+02,1.122e+05
34.7,3.108e+02,1.198e+05,1.335e+03,1.215e+05
36.2,3.570e+02,1.271e+05,2.361e+03,1.298e+05
37.8,4.227e+02,1.287e+05,3.199e+03,1.323e+05
39.4,7.957e+02,1.235e+05,3.884e+03,1.281e+05
41.0,1.323e+03,1.174e+05,4.766e+03,1.235e+05
42.5,1.613e+03,1.110e+05,5.610e+03,1.182e+05
44.1,1.650e+03,1.075e+05,6.508e+03,1.156e+05
45.7,1.718e+03,1.014e+05,8.856e+03,1.120e+05
47.3,2.233e+03,9.730e+04,1.341e+04,1.129e+05
48.8,3.811e+03,9.137e+04,2.061e+04,1.158e+05
50.4,6.420e+03,7.113e+04,2.680e+04,1.043e+05
52.0,8.689e+03,4.452e+04,3.088e+04,8.409e+04
53.6,9.664e+03,2.132e+04,3.379e+04,6.478e+04
55.1,1.020e+04,7.206e+03,3.226e+04,4.966e+04
56.7,1.912e+04,2.529e+03,4.317e+04,6.482e+04
58.3,3.878e+04,4.791e+03,6.998e+04,1.135e+05
59.9,3.341e+04,1.059e+04,8.689e+04,1.309e+05
61.4,1.808e+04,1.319e+04,8.079e+04,1.121e+05
63.0,1.747e+04,1.560e+04,7.407e+04,1.071e+05
64.6,1.353e+04,1.852e+04,6.574e+04,9.780e+04
66.2,1.726e+04,2.045e+04,5.487e+04,9.258e+04
67.7,2.156e+04,2.348e+04,5.152e+04,9.656e+04
69.3,1.794e+04,2.743e+04,5.196e+04,9.733e+04
70.9,1.121e+04,2.793e+04,4.517e+04,8.431e+04
72.5,6.523e+03,2.709e+04,3.739e+04,7.100e+04
74.0,5.222e+03,2.633e+04,2.998e+04,6.153e+04
75.6,4.297e+03,2.693e+04,2.492e+04,5.615e+04
77.2,3.158e+03,2.451e+04,2.139e+04,4.906e+04
78.8,3.142e+03,2.081e+04,1.915e+04,4.310e+04
80.3,2.530e+03,1.760e+04,1.702e+04,3.715e+04
81.9,1.908e+03,1.567e+04,1.596e+04,3.355e+04
83.5,2.264e+03,1.464e+04,1.525e+04,3.215e+04
85.1,3.985e+03,1.498e+04,1.350e+04,3.247e+04
86.6,5.618e+03,1.681e+04,1.327e+04,3.569e+04
88.2,6.382e+03,1.804e+04,1.364e+04,3.806e+04
89.8,7.123e+03,1.745e+04,1.331e+04,3.787e+04
91.4,8.446e+03,1.480e+04,1.022e+04,3.347e+04
92.9,9.829e+03,1.293e+04,6.221e+03,2.898e+04
94.5,1.096e+04,1.394e+04,3.437e+03,2.834e+04
96.1,1.238e+04,1.843e+04,2.236e+03,3.305e+04
97.7,1.255e+04,2.677e+04,2.007e+03,4.132e+04
99.2,1.185e+04,4.340e+04,2.338e+03,5.759e+04
100.8,1.216e+04,6.468e+04,2.753e+03,7.959e+04
102.4,1.168e+04,8.153e+04,3.330e+03,9.654e+04
104.0,1.188e+04,9.803e+04,4.359e+03,1.143e+05
105.5,1.130e+04,1.168e+05,5.360e+03,1.335e+05
107.1,9.156e+03,1.360e+05,6.520e+03,1.517e+05
108.7,5.995e+03,1.463e+05,7.267e+03,1.595e+05
110.3,3.806e+03,1.430e+05,7.048e+03,1.538e+05
111.8,3.033e+03,1.494e+05,7.045e+03,1.595e+05
113.4,2.926e+03,1.941e+05,8.013e+03,2.051e+05
115.0,3.316e+03,2.232e+05,8.246e+03,2.348e+05
116.6,4.024e+03,2.372e+05,8.053e+03,2.493e+05
118.1,4.510e+03,2.368e+05,7.710e+03,2.490e+05
119.7,4.521e+03,2.243e+05,6.984e+03,2.358e+05
121.3,4.192e+03,2.036e+05,6.305e+03,2.141e+05
122.9,3.646e+03,1.678e+05,5.362e+03,1.768e+05
124.4,2.820e+03,1.362e+05,4.826e+03,1.439e+05
126.0,2.332e+03,1.373e+05,4.672e+03,1.443e+05
127.6,2.589e+03,1.229e+05,3.469e+03,1.289e+05
129.2,3.185e+03,1.043e+05,2.395e+03,1.098e+05
130.7,3.907e+03,8.864e+04,1.785e+03,9.434e+04
132.3,3.730e+03,6.233e+04,1.364e+03,6.743e+04
133.9,1.403e+03,1.676e+04,6.645e+02,1.883e+04
135.5,6.389e+02,2.752e+03,4.440e+02,3.835e+03
137.0,6.561e+02,2.237e+03,4.353e+02,3.328e+03
138.6,6.988e+02,2.134e+03,4.910e+02,3.323e+03
140.2,6.076e+02,2.202e+03,5.700e+02,3.379e+03
141.8,6.291e+02,2.472e+03,6.750e+02,3.776e+03
143.3,5.795e+02,2.546e+03,6.757e+02,3.801e+03
144.9,5.704e+02,2.313e+03,6.639e+02,3.548e+03
146.5,5.724e+02,2.038e+03,6.294e+02,3.240e+03
148.1,5.655e+02,1.765e+03,5.939e+02,2.924e+03
149.6,5.934e+02,1.486e+03,6.232e+02,2.702e+03
151.2,6.106e+02,1.164e+03,7.219e+02,2.496e+03
152.8,6.310e+02,9.743e+02,8.152e+02,2.420e+03
154.4,6.594e+02,7.968e+02,8.180e+02,2.274e+03
155.9,6.398e+02,7.621e+02,8.687e+02,2.271e+03
157.5,6.402e+02,7.235e+02,9.695e+02,2.333e+03
159.1,6.119e+02,8.673e+02,1.074e+03,2.554e+03
160.7,4.483e+02,1.008e+03,1.000e+03,2.456e+03
162.2,3.137e+02,1.331e+03,8.868e+02,2.532e+03
163.8,2.243e+02,1.634e+03,7.472e+02,2.605e+03
165.4,1.831e+02,1.715e+03,6.759e+02,2.574e+03
167.0,1.684e+02,1.681e+03,6.581e+02,2.508e+03
168.5,1.458e+02,1.713e+03,6.414e+02,2.500e+03
170.1,1.467e+02,1.822e+03,6.492e+02,2.618e+03
171.7,1.941e+02,1.814e+03,6.680e+02,2.676e+03
173.3,4.291e+02,1.800e+03,8.112e+02,3.040e+03
174.8,8.898e+02,1.749e+03,1.005e+03,3.644e+03
176.4,1.393e+03,1.593e+03,1.192e+03,4.179e+03
178.0,1.873e+03,1.331e+03,1.318e+03,4.522e+03
179.6,2.260e+03,1.252e+03,1.417e+03,4.929e+03
181.1,2.248e+03,1.091e+03,1.355e+03,4.694e+03
182.7,2.160e+03,9.830e+02,1.362e+03,4.505e+03
184.3,2.117e+03,9.613e+02,1.428e+03,4.506e+03
185.9,2.154e+03,9.349e+02,1.439e+03,4.528e+03
187.4,2.321e+03,9.155e+02,1.561e+03,4.798e+03
189.0,2.387e+03,9.037e+02,1.673e+03,4.964e+03
190.6,2.495e+03,9.102e+02,1.840e+03,5.246e+03
192.2,2.726e+03,9.712e+02,1.997e+03,5.694e+03
193.7,2.968e+03,1.146e+03,2.163e+03,6.276e+03
195.3,3.183e+03,1.304e+03,2.310e+03,6.797e+03
196.9,3.390e+03,1.497e+03,2.495e+03,7.382e+03
198.5,3.582e+03,1.736e+03,2.572e+03,7.890e+03
