freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.855e+02,1.264e+01,2.000e+01,5.181e+02
1.6,2.856e+02,3.081e+01,5.983e+01,3.763e+02
3.2,3.557e+01,2.961e+01,6.879e+01,1.340e+02
4.8,3.948e+02,2.580e+01,7.285e+01,4.935e+02
6.3,1.292e+03,2.440e+01,4.952e+01,1.366e+03
7.9,2.133e+03,2.450e+01,5.773e+01,2.215e+03
9.5,3.041e+03,2.828e+01,6.006e+01,3.130e+03
11.1,3.928e+03,2.758e+01,6.713e+01,4.023e+03
12.7,5.242e+03,2.764e+01,6.828e+01,5.338e+03
14.3,6.806e+03,2.800e+01,7.213e+01,6.906e+03
15.9,8.565e+03,3.159e+01,7.393e+01,8.671e+03
17.4,1.084e+04,3.331e+01,6.326e+01,1.094e+04
19.0,1.380e+04,3.038e+01,5.817e+01,1.389e+04
20.6,1.741e+04,3.070e+01,6.068e+01,1.750e+04
22.2,2.168e+04,3.448e+01,6.319e+01,2.178e+04
23.8,2.600e+04,3.702e+01,7.363e+01,2.612e+04
25.4,2.820e+04,4.826e+01,7.801e+01,2.833e+04
27.0,2.973e+04,4.567e+01,6.690e+01,2.984e+04
28.6,3.504e+04,3.929e+01,5.371e+01,3.514e+04
30.1,4.275e+04,3.653e+01,6.109e+01,4.285e+04
31.7,5.134e+04,4.131e+01,1.202e+02,5.150e+04
33.3,5.985e+04,4.755e+01,1.748e+02,6.007e+04
34.9,6.982e+04,7.227e+01,1.592e+02,7.005e+04
36.5,8.294e+04,1.310e+02,1.444e+02,8.322e+04
38.1,9.955e+04,1.847e+02,1.486e+02,9.989e+04
39.7,1.179e+05,2.266e+02,1.574e+02,1.183e+05
41.2,1.296e+05,2.342e+02,1.809e+02,1.301e+05
42.8,1.519e+05,2.316e+02,2.069e+02,1.523e+05
44.4,1.889e+05,2.727e+02,2.599e+02,1.895e+05
46.0,2.378e+05,3.917e+02,4.711e+02,2.386e+05
47.6,3.001e+05,6.051e+02,1.010e+03,3.017e+05
49.2,3.923e+05,9.840e+02,2.045e+03,3.953e+05
50.8,5.525e+05,1.738e+03,3.629e+03,5.578e+05
52.3,8.630e+05,3.658e+03,7.761e+03,8.744e+05
53.9,1.298e+06,8.963e+03,1.626e+04,1.323e+06
55.5,1.675e+06,1.849e+04,1.927e+04,1.713e+06
57.1,2.040e+06,2.910e+04,2.279e+04,2.092e+06
58.7,2.064e+06,3.444e+04,2.928e+04,2.128e+06
60.3,1.622e+06,2.752e+04,2.552e+04,1.675e+06
61.9,1.088e+06,1.624e+04,1.709e+04,1.121e+06
63.4,7.497e+05,8.744e+03,1.105e+04,7.695e+05
65.0,7.057e+05,4.167e+03,7.812e+03,7.177e+05
66.6,6.954e+05,3.029e+03,5.767e+03,7.042e+05
68.2,5.735e+05,4.059e+03,7.561e+03,5.851e+05
69.8,4.005e+05,3.286e+03,8.489e+03,4.123e+05
71.4,2.786e+05,1.593e+03,7.407e+03,2.876e+05
73.0,2.130e+05,7.124e+02,6.483e+03,2.202e+05
74.6,1.881e+05,1.467e+03,7.452e+03,1.970e+05
76.1,1.389e+05,3.717e+03,7.573e+03,1.502e+05
77.7,9.749e+04,6.183e+03,6.779e+03,1.105e+05
79.3,7.317e+04,9.129e+03,5.634e+03,8.793e+04
80.9,6.464e+04,1.131e+04,4.510e+03,8.046e+04
82.5,7.467e+04,1.308e+04,4.454e+03,9.220e+04
84.1,9.412e+04,1.483e+04,4.831e+03,1.138e+05
85.7,1.118e+05,1.515e+04,4.582e+03,1.315e+05
87.2,1.263e+05,1.452e+04,4.044e+03,1.449e+05
88.8,1.545e+05,1.086e+04,3.088e+03,1.684e+05
90.4,2.043e+05,5.050e+03,2.034e+03,2.113e+05
92.0,2.543e+05,1.507e+03,1.338e+03,2.572e+05
93.6,2.810e+05,1.496e+03,1.236e+03,2.837e+05
95.2,2.809e+05,3.013e+03,1.549e+03,2.854e+05
96.8,2.717e+05,4.661e+03,1.895e+03,2.782e+05
98.3,2.634e+05,8.295e+03,1.619e+03,2.733e+05
99.9,2.427e+05,1.281e+04,1.197e+03,2.567e+05
101.5,2.197e+05,1.534e+04,8.702e+02,2.359e+05
103.1,1.959e+05,1.875e+04,5.219e+02,2.151e+05
104.7,1.730e+05,2.200e+04,4.399e+02,1.954e+05
106.3,1.539e+05,2.223e+04,7.722e+02,1.769e+05
107.9,1.432e+05,2.152e+04,1.367e+03,1.661e+05
109.4,1.367e+05,2.085e+04,1.941e+03,1.594e+05
111.0,1.244e+05,1.636e+04,2.383e+03,1.432e+05
112.6,1.064e+05,1.154e+04,2.481e+03,1.204e+05
114.2,9.499e+04,9.101e+03,2.562e+03,1.067e+05
115.8,8.778e+04,8.254e+03,2.728e+03,9.876e+04
117.4,8.144e+04,7.732e+03,2.786e+03,9.196e+04
119.0,7.515e+04,6.966e+03,2.836e+03,8.495e+04
120.6,6.731e+04,5.981e+03,2.750e+03,7.605e+04
122.1,5.021e+04,4.001e+03,2.187e+03,5.640e+04
123.7,3.373e+04,2.437e+03,1.671e+03,3.784e+04
125.3,2.756e+04,2.588e+03,1.528e+03,3.168e+04
126.9,3.086e+04,4.469e+03,1.823e+03,3.715e+04
128.5,3.809e+04,3.728e+03,2.267e+03,4.408e+04
130.1,4.008e+04,3.115e+03,2.712e+03,4.591e+04
131.7,3.366e+04,2.842e+03,2.515e+03,3.901e+04
133.2,1.465e+04,1.576e+03,1.187e+03,1.741e+04
134.8,1.231e+03,5.553e+02,1.692e+02,1.956e+03
136.4,3.899e+02,3.311e+02,9.864e+01,8.196e+02
138.0,3.863e+02,4.050e+02,1.029e+02,8.941e+02
139.6,3.611e+02,5.672e+02,1.047e+02,1.033e+03
141.2,3.985e+02,3.445e+02,1.151e+02,8.581e+02
142.8,4.205e+02,2.825e+02,1.024e+02,8.054e+02
144.3,4.472e+02,3.165e+02,9.957e+01,8.632e+02
145.9,4.739e+02,3.512e+02,9.726e+01,9.224e+02
147.5,4.400e+02,3.022e+02,8.817e+01,8.304e+02
149.1,3.916e+02,2.987e+02,9.307e+01,7.833e+02
150.7,3.277e+02,3.210e+02,1.001e+02,7.487e+02
152.3,3.026e+02,3.822e+02,1.153e+02,8.001e+02
153.9,3.304e+02,4.572e+02,1.609e+02,9.486e+02
155.4,3.275e+02,5.483e+02,2.487e+02,1.125e+03
157.0,2.924e+02,7.013e+02,2.847e+02,1.278e+03
158.6,2.832e+02,7.325e+02,2.906e+02,1.306e+03
160.2,3.441e+02,7.161e+02,2.776e+02,1.338e+03
161.8,5.216e+02,6.145e+02,3.022e+02,1.438e+03
163.4,5.558e+02,5.500e+02,2.925e+02,1.398e+03
165.0,6.200e+02,6.189e+02,3.284e+02,1.567e+03
166.6,9.397e+02,8.554e+02,4.123e+02,2.207e+03
168.1,1.449e+03,1.025e+03,4.487e+02,2.922e+03
169.7,1.769e+03,1.142e+03,4.424e+02,3.353e+03
171.3,1.937e+03,1.223e+03,4.975e+02,3.657e+03
172.9,1.930e+03,1.337e+03,5.461e+02,3.813e+03
174.5,1.765e+03,1.579e+03,5.991e+02,3.942e+03
176.1,1.701e+03,1.814e+03,6.610e+02,4.176e+03
177.7,1.692e+03,2.042e+03,7.198e+02,4.453e+03
179.2,1.533e+03,1.931e+03,5.711e+02,4.035e+03
180.8,1.372e+03,1.843e+03,5.682e+02,3.783e+03
182.4,1.188e+03,1.845e+03,6.775e+02,3.711e+03
184.0,8.137e+02,1.531e+03,6.880e+02,3.033e+03
185.6,4.822e+02,1.102e+03,5.758e+02,2.160e+03
187.2,4.611e+02,9.912e+02,4.562e+02,1.909e+03
188.8,3.790e+02,9.013e+02,3.170e+02,1.597e+03
190.3,3.812e+02,7.534e+02,2.516e+02,1.386e+03
191.9,5.431e+02,7.430e+02,2.810e+02,1.567e+03
193.5,7.084e+02,6.043e+02,2.422e+02,1.555e+03
195.1,6.926e+02,5.449e+02,2.251e+02,1.463e+03
196.7,6.167e+02,5.654e+02,2.657e+02,1.448e+03
198.3,6.167e+02,5.671e+02,2.981e+02,1.482e+03
199.9,8.133e+02,6.896e+02,3.790e+02,1.882e+03
