freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.608e+01,3.020e+02,5.536e+01,3.734e+02
1.6,2.790e+01,2.049e+02,1.091e+02,3.419e+02
3.2,2.493e+01,5.914e+01,1.012e+02,1.853e+02
4.8,2.412e+01,4.576e+02,1.013e+02,5.831e+02
6.3,2.778e+01,1.422e+03,1.047e+02,1.554e+03
7.9,2.903e+01,2.380e+03,9.493e+01,2.504e+03
9.5,3.207e+01,3.621e+03,9.511e+01,3.748e+03
11.1,3.548e+01,5.680e+03,1.209e+02,5.836e+03
12.7,4.412e+01,6.998e+03,1.445e+02,7.187e+03
14.3,4.066e+01,7.946e+03,1.362e+02,8.123e+03
15.9,4.144e+01,1.116e+04,1.559e+02,1.136e+04
17.5,4.955e+01,1.479e+04,1.393e+02,1.497e+04
19.0,5.004e+01,1.912e+04,1.513e+02,1.932e+04
20.6,6.758e+01,2.517e+04,1.704e+02,2.540e+04
22.2,1.059e+02,3.323e+04,2.125e+02,3.355e+04
23.8,1.414e+02,4.302e+04,2.779e+02,4.344e+04
25.4,8.148e+01,5.434e+04,3.522e+02,5.478e+04
27.0,3.296e+01,6.960e+04,4.981e+02,7.013e+04
28.6,3.698e+01,9.065e+04,8.480e+02,9.154e+04
30.2,5.093e+01,1.113e+05,1.094e+03,1.124e+05
31.7,1.035e+02,1.293e+05,7.598e+02,1.301e+05
33.3,1.093e+02,1.476e+05,1.393e+03,1.491e+05
34.9,5.783e+01,1.717e+05,2.627e+03,1.744e+05
36.5,5.369e+01,2.163e+05,4.058e+03,2.204e+05
38.1,1.434e+02,3.126e+05,7.008e+03,3.197e+05
39.7,3.451e+02,4.181e+05,1.261e+04,4.311e+05
41.3,8.623e+02,4.427e+05,1.789e+04,4.614e+05
42.9,1.342e+03,3.738e+05,1.902e+04,3.941e+05
44.4,1.276e+03,2.939e+05,1.829e+04,3.134e+05
46.0,9.525e+02,2.083e+05,1.703e+04,2.263e+05
47.6,7.381e+02,1.485e+05,1.741e+04,1.667e+05
49.2,8.727e+02,1.152e+05,2.060e+04,1.367e+05
50.8,1.273e+03,9.400e+04,2.425e+04,1.195e+05
52.4,1.548e+03,7.447e+04,2.619e+04,1.022e+05
54.0,1.728e+03,5.282e+04,2.648e+04,8.103e+04
55.6,1.981e+03,3.522e+04,2.778e+04,6.498e+04
57.1,2.092e+03,2.700e+04,3.278e+04,6.186e+04
58.7,2.672e+03,2.041e+04,5.085e+04,7.393e+04
60.3,3.247e+03,1.777e+04,8.484e+04,1.059e+05
61.9,2.465e+03,1.939e+04,1.154e+05,1.372e+05
63.5,1.276e+03,2.561e+04,1.196e+05,1.465e+05
65.1,2.005e+03,3.021e+04,1.129e+05,1.451e+05
66.7,3.084e+03,3.644e+04,1.093e+05,1.488e+05
68.3,3.578e+03,4.246e+04,1.010e+05,1.471e+05
69.8,3.227e+03,4.600e+04,1.010e+05,1.502e+05
71.4,2.842e+03,5.034e+04,9.616e+04,1.493e+05
73.0,2.353e+03,5.684e+04,8.880e+04,1.480e+05
74.6,2.125e+03,6.083e+04,7.985e+04,1.428e+05
76.2,3.151e+03,6.738e+04,7.751e+04,1.480e+05
77.8,3.515e+03,7.325e+04,7.301e+04,1.498e+05
79.4,2.827e+03,7.400e+04,6.328e+04,1.401e+05
81.0,2.012e+03,6.493e+04,5.116e+04,1.181e+05
82.5,1.646e+03,5.290e+04,4.181e+04,9.636e+04
84.1,2.212e+03,4.129e+04,3.474e+04,7.824e+04
85.7,1.959e+03,3.003e+04,2.731e+04,5.930e+04
87.3,8.663e+02,2.405e+04,1.864e+04,4.356e+04
88.9,7.770e+02,3.510e+04,1.855e+04,5.443e+04
90.5,1.018e+03,5.146e+04,2.299e+04,7.547e+04
92.1,1.213e+03,6.507e+04,2.540e+04,9.169e+04
93.7,1.205e+03,7.599e+04,2.805e+04,1.052e+05
95.2,1.227e+03,7.550e+04,2.873e+04,1.055e+05
96.8,1.172e+03,6.240e+04,2.655e+04,9.012e+04
98.4,1.170e+03,4.448e+04,2.103e+04,6.668e+04
100.0,1.374e+03,3.798e+04,1.539e+04,5.475e+04
101.6,1.480e+03,5.933e+04,1.168e+04,7.249e+04
103.2,2.771e+03,1.152e+05,9.290e+03,1.273e+05
104.8,5.626e+03,1.721e+05,7.606e+03,1.853e+05
106.4,6.171e+03,1.997e+05,6.342e+03,2.122e+05
107.9,5.900e+03,2.050e+05,5.810e+03,2.167e+05
109.5,5.347e+03,2.022e+05,5.363e+03,2.129e+05
111.1,4.489e+03,2.002e+05,4.538e+03,2.092e+05
112.7,4.035e+03,1.884e+05,3.752e+03,1.962e+05
114.3,3.623e+03,1.821e+05,3.297e+03,1.890e+05
115.9,3.257e+03,1.806e+05,2.894e+03,1.867e+05
117.5,3.268e+03,1.652e+05,3.124e+03,1.716e+05
119.1,3.558e+03,1.540e+05,3.404e+03,1.610e+05
120.6,4.215e+03,1.581e+05,3.094e+03,1.654e+05
122.2,4.518e+03,1.603e+05,2.594e+03,1.674e+05
123.8,4.504e+03,1.533e+05,2.369e+03,1.601e+05
125.4,4.554e+03,1.436e+05,2.458e+03,1.507e+05
127.0,5.064e+03,1.405e+05,2.327e+03,1.479e+05
128.6,5.567e+03,1.384e+05,2.177e+03,1.461e+05
130.2,5.730e+03,1.263e+05,2.153e+03,1.341e+05
131.8,5.848e+03,9.992e+04,1.940e+03,1.077e+05
133.3,3.651e+03,3.898e+04,1.107e+03,4.374e+04
134.9,2.167e+03,6.233e+03,6.609e+02,9.060e+03
136.5,2.101e+03,4.562e+03,7.042e+02,7.367e+03
138.1,2.533e+03,4.557e+03,8.481e+02,7.938e+03
139.7,3.191e+03,4.396e+03,7.934e+02,8.381e+03
141.3,3.179e+03,4.104e+03,8.176e+02,8.101e+03
142.9,3.056e+03,3.804e+03,8.350e+02,7.695e+03
144.5,3.167e+03,3.471e+03,9.087e+02,7.547e+03
146.0,3.367e+03,3.365e+03,1.051e+03,7.783e+03
147.6,3.598e+03,3.474e+03,1.154e+03,8.226e+03
149.2,3.824e+03,3.747e+03,1.230e+03,8.802e+03
150.8,3.918e+03,3.975e+03,1.279e+03,9.172e+03
152.4,3.896e+03,4.021e+03,1.274e+03,9.192e+03
154.0,3.459e+03,3.897e+03,1.191e+03,8.547e+03
155.6,3.077e+03,3.705e+03,1.156e+03,7.937e+03
157.2,2.614e+03,3.526e+03,1.130e+03,7.269e+03
158.7,2.327e+03,3.484e+03,1.008e+03,6.818e+03
160.3,1.833e+03,3.568e+03,8.893e+02,6.291e+03
161.9,1.446e+03,3.687e+03,8.402e+02,5.974e+03
163.5,1.560e+03,3.771e+03,1.034e+03,6.365e+03
165.1,2.181e+03,4.007e+03,1.439e+03,7.627e+03
166.7,3.106e+03,4.633e+03,1.780e+03,9.519e+03
168.3,3.512e+03,5.321e+03,2.073e+03,1.091e+04
169.9,3.684e+03,5.961e+03,2.389e+03,1.203e+04
171.4,3.681e+03,6.308e+03,2.584e+03,1.257e+04
173.0,3.680e+03,6.632e+03,2.818e+03,1.313e+04
174.6,3.745e+03,6.203e+03,3.054e+03,1.300e+04
176.2,3.948e+03,6.003e+03,3.119e+03,1.307e+04
177.8,4.312e+03,6.491e+03,3.161e+03,1.396e+04
179.4,4.691e+03,6.782e+03,3.322e+03,1.480e+04
181.0,5.124e+03,7.199e+03,3.555e+03,1.588e+04
182.6,5.950e+03,7.919e+03,4.011e+03,1.788e+04
184.1,7.031e+03,8.917e+03,4.471e+03,2.042e+04
185.7,7.896e+03,9.927e+03,4.912e+03,2.274e+04
187.3,8.668e+03,1.071e+04,5.200e+03,2.457e+04
188.9,9.095e+03,1.081e+04,5.433e+03,2.534e+04
190.5,9.439e+03,1.131e+04,5.734e+03,2.649e+04
192.1,9.633e+03,1.186e+04,5.959e+03,2.745e+04
193.7,1.029e+04,1.224e+04,6.261e+03,2.880e+04
195.3,1.130e+04,1.304e+04,6.506e+03,3.085e+04
196.8,1.199e+04,1.313e+04,6.837e+03,3.196e+04
198.4,1.338e+04,1.338e+04,7.238e+03,3.400e+04
