freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.133e+01,2.982e+02,5.335e+01,3.629e+02
1.6,2.400e+01,1.790e+02,4.613e+01,2.492e+02
3.2,2.440e+01,3.124e+01,2.134e+01,7.698e+01
4.8,2.578e+01,4.258e+02,2.238e+01,4.740e+02
6.4,2.558e+01,1.408e+03,2.342e+01,1.457e+03
7.9,2.624e+01,2.372e+03,2.393e+01,2.422e+03
9.5,2.825e+01,3.589e+03,2.587e+01,3.643e+03
11.1,3.668e+01,5.705e+03,2.643e+01,5.769e+03
12.7,8.461e+01,7.951e+03,2.636e+01,8.062e+03
14.3,9.278e+01,7.429e+03,3.276e+01,7.554e+03
15.9,6.770e+01,9.801e+03,3.783e+01,9.907e+03
17.5,1.017e+02,1.339e+04,5.084e+01,1.354e+04
19.1,1.401e+02,1.758e+04,5.443e+01,1.778e+04
20.6,6.888e+01,2.469e+04,7.524e+01,2.483e+04
22.2,1.172e+02,3.177e+04,1.118e+02,3.200e+04
23.8,1.774e+02,3.129e+04,1.142e+02,3.158e+04
25.4,1.220e+02,4.137e+04,1.916e+02,4.169e+04
27.0,1.160e+02,5.890e+04,3.647e+02,5.938e+04
28.6,1.410e+02,8.070e+04,6.873e+02,8.153e+04
30.2,1.573e+02,1.141e+05,1.355e+03,1.156e+05
31.8,1.551e+02,1.611e+05,2.676e+03,1.639e+05
33.4,1.597e+02,2.235e+05,4.616e+03,2.283e+05
34.9,2.838e+02,3.096e+05,8.133e+03,3.180e+05
36.5,6.155e+02,4.286e+05,1.504e+04,4.442e+05
38.1,8.493e+02,5.364e+05,2.613e+04,5.634e+05
39.7,1.901e+03,4.799e+05,3.110e+04,5.129e+05
41.3,2.391e+03,3.547e+05,3.025e+04,3.874e+05
42.9,1.340e+03,2.721e+05,3.235e+04,3.058e+05
44.5,7.156e+02,2.014e+05,3.419e+04,2.363e+05
46.1,5.066e+02,1.564e+05,3.792e+04,1.949e+05
47.7,5.324e+02,1.256e+05,4.700e+04,1.732e+05
49.2,5.852e+02,9.580e+04,5.932e+04,1.557e+05
50.8,6.626e+02,6.922e+04,6.373e+04,1.336e+05
52.4,1.197e+03,5.059e+04,6.754e+04,1.193e+05
54.0,2.412e+03,3.945e+04,6.936e+04,1.112e+05
55.6,3.734e+03,2.652e+04,7.037e+04,1.006e+05
57.2,5.312e+03,1.907e+04,7.580e+04,1.002e+05
58.8,6.194e+03,1.905e+04,7.902e+04,1.043e+05
60.4,6.145e+03,2.471e+04,8.576e+04,1.166e+05
61.9,5.569e+03,4.642e+04,1.041e+05,1.561e+05
63.5,5.140e+03,8.835e+04,1.303e+05,2.238e+05
65.1,7.813e+03,1.313e+05,1.468e+05,2.859e+05
66.7,7.758e+03,1.602e+05,1.459e+05,3.139e+05
68.3,5.376e+03,1.336e+05,1.070e+05,2.460e+05
69.9,4.228e+03,9.186e+04,6.212e+04,1.582e+05
71.5,3.299e+03,7.332e+04,3.793e+04,1.145e+05
73.1,2.028e+03,7.892e+04,3.504e+04,1.160e+05
74.7,1.478e+03,9.087e+04,4.027e+04,1.326e+05
76.2,2.064e+03,8.871e+04,4.063e+04,1.314e+05
77.8,3.451e+03,6.483e+04,3.126e+04,9.954e+04
79.4,2.723e+03,4.132e+04,1.913e+04,6.317e+04
81.0,2.706e+03,3.106e+04,1.208e+04,4.584e+04
82.6,3.971e+03,2.862e+04,9.382e+03,4.197e+04
84.2,4.439e+03,2.972e+04,7.414e+03,4.157e+04
85.8,4.055e+03,3.674e+04,6.809e+03,4.761e+04
87.4,3.620e+03,4.485e+04,6.485e+03,5.496e+04
89.0,3.787e+03,4.550e+04,5.558e+03,5.485e+04
90.5,2.394e+03,4.578e+04,5.335e+03,5.350e+04
92.1,1.555e+03,6.064e+04,5.529e+03,6.773e+04
93.7,1.630e+03,6.506e+04,4.905e+03,7.159e+04
95.3,2.688e+03,6.836e+04,4.482e+03,7.553e+04
96.9,4.708e+03,8.173e+04,3.978e+03,9.042e+04
98.5,3.721e+03,8.865e+04,3.128e+03,9.550e+04
100.1,4.088e+03,9.605e+04,3.143e+03,1.033e+05
101.7,5.111e+03,9.831e+04,3.359e+03,1.068e+05
103.2,5.974e+03,9.340e+04,3.339e+03,1.027e+05
104.8,5.651e+03,1.051e+05,3.648e+03,1.144e+05
106.4,6.115e+03,1.061e+05,3.588e+03,1.158e+05
108.0,6.475e+03,9.790e+04,3.243e+03,1.076e+05
109.6,6.539e+03,9.006e+04,2.751e+03,9.935e+04
111.2,6.532e+03,8.239e+04,2.351e+03,9.127e+04
112.8,6.164e+03,7.449e+04,2.022e+03,8.268e+04
114.4,5.958e+03,6.802e+04,1.828e+03,7.580e+04
116.0,5.900e+03,6.400e+04,1.786e+03,7.169e+04
117.5,5.573e+03,6.118e+04,1.798e+03,6.855e+04
119.1,4.976e+03,5.535e+04,1.726e+03,6.205e+04
120.7,4.722e+03,5.461e+04,1.898e+03,6.123e+04
122.3,4.003e+03,4.984e+04,2.057e+03,5.590e+04
123.9,4.408e+03,5.928e+04,2.799e+03,6.649e+04
125.5,4.751e+03,5.640e+04,2.825e+03,6.397e+04
127.1,5.591e+03,4.924e+04,2.627e+03,5.746e+04
128.7,6.686e+03,4.336e+04,2.615e+03,5.266e+04
130.3,6.906e+03,3.795e+04,2.538e+03,4.739e+04
131.8,5.611e+03,2.905e+04,1.976e+03,3.664e+04
133.4,2.652e+03,1.005e+04,9.396e+02,1.364e+04
135.0,1.414e+03,1.527e+03,4.638e+02,3.405e+03
136.6,1.310e+03,1.371e+03,4.527e+02,3.133e+03
138.2,1.348e+03,1.636e+03,4.930e+02,3.477e+03
139.8,1.212e+03,1.676e+03,4.497e+02,3.337e+03
141.4,1.191e+03,1.975e+03,5.092e+02,3.675e+03
143.0,1.127e+03,2.373e+03,6.470e+02,4.146e+03
144.5,1.080e+03,2.270e+03,6.208e+02,3.971e+03
146.1,1.040e+03,2.015e+03,5.429e+02,3.598e+03
147.7,1.075e+03,1.896e+03,5.669e+02,3.537e+03
149.3,1.008e+03,1.760e+03,6.227e+02,3.390e+03
150.9,9.668e+02,1.677e+03,6.861e+02,3.330e+03
152.5,8.842e+02,1.602e+03,7.182e+02,3.204e+03
154.1,8.616e+02,1.536e+03,6.971e+02,3.095e+03
155.7,7.673e+02,1.388e+03,6.316e+02,2.787e+03
157.3,6.742e+02,1.534e+03,6.046e+02,2.813e+03
158.8,5.620e+02,1.603e+03,5.859e+02,2.751e+03
160.4,4.358e+02,1.548e+03,5.403e+02,2.525e+03
162.0,3.711e+02,1.451e+03,5.151e+02,2.337e+03
163.6,3.216e+02,1.366e+03,4.906e+02,2.178e+03
165.2,3.069e+02,1.471e+03,4.713e+02,2.249e+03
166.8,2.864e+02,1.507e+03,4.628e+02,2.256e+03
168.4,2.633e+02,1.409e+03,4.510e+02,2.124e+03
170.0,2.521e+02,1.309e+03,4.477e+02,2.008e+03
171.5,2.551e+02,1.213e+03,5.097e+02,1.978e+03
173.1,2.512e+02,1.250e+03,5.520e+02,2.054e+03
174.7,2.534e+02,1.403e+03,6.186e+02,2.275e+03
176.3,2.480e+02,1.515e+03,7.237e+02,2.487e+03
177.9,2.574e+02,1.816e+03,9.125e+02,2.986e+03
179.5,2.717e+02,2.306e+03,1.092e+03,3.670e+03
181.1,3.163e+02,2.617e+03,1.187e+03,4.121e+03
182.7,3.525e+02,2.751e+03,1.240e+03,4.344e+03
184.3,4.102e+02,3.045e+03,1.273e+03,4.728e+03
185.8,4.976e+02,3.373e+03,1.401e+03,5.272e+03
187.4,6.327e+02,3.485e+03,1.589e+03,5.706e+03
189.0,7.578e+02,3.525e+03,1.818e+03,6.100e+03
190.6,7.964e+02,3.527e+03,1.874e+03,6.198e+03
192.2,8.160e+02,3.654e+03,1.845e+03,6.315e+03
193.8,9.295e+02,4.194e+03,1.971e+03,7.094e+03
195.4,1.080e+03,4.292e+03,2.181e+03,7.553e+03
197.0,1.327e+03,4.351e+03,2.428e+03,8.106e+03
