freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.248e+01,1.852e+02,3.503e+01,2.327e+02
1.6,2.504e+01,1.169e+02,3.279e+01,1.748e+02
3.2,2.336e+01,3.098e+01,1.687e+01,7.122e+01
4.7,2.509e+01,3.980e+02,1.804e+01,4.411e+02
6.3,2.759e+01,1.363e+03,1.739e+01,1.408e+03
7.9,2.848e+01,2.351e+03,1.924e+01,2.398e+03
9.5,3.027e+01,3.657e+03,2.004e+01,3.708e+03
11.1,3.543e+01,5.751e+03,2.181e+01,5.808e+03
12.7,4.340e+01,7.330e+03,2.123e+01,7.395e+03
14.2,3.634e+01,9.106e+03,2.162e+01,9.164e+03
15.8,3.231e+01,1.200e+04,2.845e+01,1.206e+04
17.4,3.315e+01,1.532e+04,3.707e+01,1.539e+04
19.0,3.957e+01,1.926e+04,5.572e+01,1.935e+04
20.6,4.319e+01,2.522e+04,9.192e+01,2.536e+04
22.1,4.862e+01,3.402e+04,1.445e+02,3.421e+04
23.7,5.434e+01,4.412e+04,2.342e+02,4.441e+04
25.3,6.873e+01,5.315e+04,3.101e+02,5.353e+04
26.9,7.299e+01,5.970e+04,3.801e+02,6.016e+04
28.5,7.883e+01,7.236e+04,5.843e+02,7.302e+04
30.1,7.775e+01,8.919e+04,7.584e+02,9.002e+04
31.6,8.467e+01,1.066e+05,6.105e+02,1.073e+05
33.2,1.651e+02,1.230e+05,7.704e+02,1.240e+05
34.8,2.247e+02,1.280e+05,1.940e+03,1.301e+05
36.4,3.057e+02,1.298e+05,3.059e+03,1.332e+05
38.0,4.460e+02,1.305e+05,4.069e+03,1.350e+05
39.5,6.945e+02,1.277e+05,5.013e+03,1.334e+05
41.1,7.839e+02,1.247e+05,6.517e+03,1.320e+05
42.7,7.361e+02,1.202e+05,8.029e+03,1.290e+05
44.3,7.915e+02,1.166e+05,9.657e+03,1.270e+05
45.9,1.134e+03,1.066e+05,1.294e+04,1.207e+05
47.5,1.646e+03,9.994e+04,1.902e+04,1.206e+05
49.0,2.286e+03,9.159e+04,2.815e+04,1.220e+05
50.6,2.731e+03,7.746e+04,3.842e+04,1.186e+05
52.2,2.838e+03,5.130e+04,4.553e+04,9.967e+04
53.8,3.427e+03,2.205e+04,4.411e+04,6.959e+04
55.4,6.242e+03,5.127e+03,3.916e+04,5.053e+04
56.9,1.045e+04,2.356e+03,5.778e+04,7.059e+04
58.5,1.326e+04,6.696e+03,8.217e+04,1.021e+05
60.1,1.349e+04,1.291e+04,8.577e+04,1.122e+05
61.7,1.271e+04,1.864e+04,7.977e+04,1.111e+05
63.3,1.108e+04,2.400e+04,7.421e+04,1.093e+05
64.9,9.815e+03,2.654e+04,6.335e+04,9.971e+04
66.4,9.016e+03,2.632e+04,5.182e+04,8.715e+04
68.0,6.355e+03,2.641e+04,4.786e+04,8.063e+04
69.6,3.651e+03,2.847e+04,4.608e+04,7.820e+04
71.2,2.262e+03,2.844e+04,3.934e+04,7.005e+04
72.8,1.727e+03,2.666e+04,3.205e+04,6.043e+04
74.3,1.785e+03,2.532e+04,2.516e+04,5.227e+04
75.9,1.559e+03,2.613e+04,2.333e+04,5.102e+04
77.5,1.122e+03,2.716e+04,2.522e+04,5.350e+04
79.1,1.313e+03,2.749e+04,2.873e+04,5.754e+04
80.7,1.837e+03,2.653e+04,3.212e+04,6.049e+04
82.3,3.181e+03,2.456e+04,3.467e+04,6.241e+04
83.8,4.312e+03,1.935e+04,2.925e+04,5.292e+04
85.4,4.192e+03,1.407e+04,1.749e+04,3.575e+04
87.0,3.661e+03,1.293e+04,9.671e+03,2.626e+04
88.6,3.092e+03,1.466e+04,7.016e+03,2.476e+04
90.2,2.709e+03,1.709e+04,7.341e+03,2.713e+04
91.7,2.797e+03,1.909e+04,7.014e+03,2.890e+04
93.3,3.872e+03,2.027e+04,6.033e+03,3.017e+04
94.9,6.675e+03,2.320e+04,5.612e+03,3.548e+04
96.5,1.148e+04,2.896e+04,6.123e+03,4.656e+04
98.1,1.289e+04,2.942e+04,5.322e+03,4.763e+04
99.7,1.032e+04,3.153e+04,3.346e+03,4.520e+04
101.2,6.986e+03,4.243e+04,2.179e+03,5.160e+04
102.8,4.582e+03,5.892e+04,1.982e+03,6.548e+04
104.4,3.964e+03,8.021e+04,2.248e+03,8.643e+04
106.0,4.179e+03,1.171e+05,3.166e+03,1.244e+05
107.6,6.326e+03,1.702e+05,4.992e+03,1.815e+05
109.1,8.234e+03,2.012e+05,5.962e+03,2.154e+05
110.7,8.666e+03,1.897e+05,5.829e+03,2.041e+05
112.3,9.151e+03,1.867e+05,5.603e+03,2.015e+05
113.9,1.234e+04,2.216e+05,6.310e+03,2.403e+05
115.5,1.353e+04,2.296e+05,6.620e+03,2.497e+05
117.1,1.311e+04,2.312e+05,6.817e+03,2.512e+05
118.6,1.136e+04,2.288e+05,6.979e+03,2.471e+05
120.2,9.192e+03,2.196e+05,6.862e+03,2.356e+05
121.8,7.434e+03,2.028e+05,6.425e+03,2.166e+05
123.4,6.048e+03,1.674e+05,5.447e+03,1.789e+05
125.0,5.666e+03,1.523e+05,5.150e+03,1.632e+05
126.5,6.415e+03,1.515e+05,5.109e+03,1.630e+05
128.1,6.501e+03,1.259e+05,4.070e+03,1.364e+05
129.7,6.084e+03,9.938e+04,3.021e+03,1.085e+05
131.3,5.336e+03,7.474e+04,2.091e+03,8.216e+04
132.9,3.442e+03,3.986e+04,1.226e+03,4.452e+04
134.5,1.262e+03,6.935e+03,5.197e+02,8.717e+03
136.0,9.196e+02,2.428e+03,4.501e+02,3.798e+03
137.6,9.110e+02,1.976e+03,4.512e+02,3.338e+03
139.2,9.157e+02,1.876e+03,5.174e+02,3.310e+03
140.8,9.036e+02,1.862e+03,5.738e+02,3.340e+03
142.4,9.105e+02,1.849e+03,5.936e+02,3.353e+03
143.9,9.754e+02,1.829e+03,6.528e+02,3.457e+03
145.5,9.666e+02,1.629e+03,6.588e+02,3.255e+03
147.1,9.219e+02,1.564e+03,6.415e+02,3.128e+03
148.7,8.837e+02,1.550e+03,6.345e+02,3.068e+03
150.3,9.539e+02,1.545e+03,6.745e+02,3.174e+03
151.9,9.500e+02,1.428e+03,6.437e+02,3.022e+03
153.4,9.455e+02,1.291e+03,6.108e+02,2.848e+03
155.0,8.344e+02,1.205e+03,5.701e+02,2.610e+03
156.6,7.070e+02,1.180e+03,5.699e+02,2.457e+03
158.2,7.051e+02,1.183e+03,6.026e+02,2.490e+03
159.8,6.152e+02,1.083e+03,6.233e+02,2.322e+03
161.3,4.950e+02,1.118e+03,6.606e+02,2.274e+03
162.9,3.840e+02,1.353e+03,7.117e+02,2.448e+03
164.5,3.042e+02,1.607e+03,7.665e+02,2.678e+03
166.1,2.858e+02,1.870e+03,9.320e+02,3.088e+03
167.7,3.411e+02,1.770e+03,9.814e+02,3.093e+03
169.3,4.270e+02,1.734e+03,1.001e+03,3.162e+03
170.8,5.389e+02,1.704e+03,1.079e+03,3.322e+03
172.4,6.337e+02,1.575e+03,1.015e+03,3.224e+03
174.0,8.072e+02,1.390e+03,1.018e+03,3.215e+03
175.6,1.024e+03,1.568e+03,1.108e+03,3.700e+03
177.2,1.064e+03,2.197e+03,1.208e+03,4.469e+03
178.7,1.036e+03,3.122e+03,1.342e+03,5.500e+03
180.3,1.016e+03,3.916e+03,1.547e+03,6.478e+03
181.9,1.040e+03,4.358e+03,1.752e+03,7.149e+03
183.5,1.171e+03,4.906e+03,2.052e+03,8.129e+03
185.1,1.310e+03,4.867e+03,2.258e+03,8.435e+03
186.7,1.459e+03,4.696e+03,2.338e+03,8.493e+03
188.2,1.687e+03,4.594e+03,2.481e+03,8.762e+03
189.8,1.965e+03,4.645e+03,2.704e+03,9.315e+03
191.4,2.450e+03,4.892e+03,3.137e+03,1.048e+04
193.0,3.300e+03,5.990e+03,4.036e+03,1.333e+04
194.6,3.769e+03,6.735e+03,4.318e+03,1.482e+04
196.1,4.922e+03,7.917e+03,5.193e+03,1.803e+04
197.7,5.659e+03,8.730e+03,5.731e+03,2.012e+04
199.3,5.816e+03,8.939e+03,5.867e+03,2.062e+04
