freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.167e+02,2.891e+01,1.365e+01,4.593e+02
1.6,2.490e+02,5.732e+01,3.290e+01,3.392e+02
3.2,4.285e+01,5.774e+01,3.421e+01,1.348e+02
4.8,4.098e+02,6.212e+01,3.591e+01,5.078e+02
6.4,1.287e+03,5.488e+01,3.436e+01,1.376e+03
7.9,2.138e+03,5.403e+01,3.100e+01,2.223e+03
9.5,3.143e+03,5.710e+01,3.330e+01,3.233e+03
11.1,4.023e+03,5.752e+01,3.640e+01,4.117e+03
12.7,5.156e+03,6.207e+01,4.025e+01,5.258e+03
14.3,6.662e+03,5.488e+01,3.744e+01,6.754e+03
15.9,8.651e+03,5.086e+01,3.871e+01,8.741e+03
17.5,1.121e+04,4.817e+01,4.339e+01,1.130e+04
19.1,1.290e+04,7.015e+01,4.514e+01,1.301e+04
20.6,1.436e+04,7.402e+01,3.887e+01,1.448e+04
22.2,1.804e+04,8.825e+01,4.358e+01,1.817e+04
23.8,2.181e+04,8.582e+01,5.105e+01,2.195e+04
25.4,2.646e+04,7.441e+01,5.631e+01,2.659e+04
27.0,3.153e+04,7.450e+01,6.085e+01,3.167e+04
28.6,3.719e+04,7.396e+01,6.946e+01,3.733e+04
30.2,4.499e+04,8.657e+01,8.087e+01,4.516e+04
31.8,5.485e+04,1.090e+02,1.059e+02,5.506e+04
33.4,6.734e+04,1.518e+02,1.566e+02,6.765e+04
34.9,8.421e+04,2.083e+02,1.906e+02,8.461e+04
36.5,1.080e+05,2.790e+02,2.275e+02,1.085e+05
38.1,1.351e+05,4.078e+02,3.276e+02,1.358e+05
39.7,1.442e+05,5.570e+02,3.811e+02,1.451e+05
41.3,1.153e+05,6.587e+02,2.608e+02,1.162e+05
42.9,1.119e+05,8.442e+02,2.761e+02,1.130e+05
44.5,1.388e+05,1.074e+03,4.954e+02,1.404e+05
46.1,1.853e+05,1.339e+03,8.889e+02,1.875e+05
47.6,2.505e+05,1.794e+03,1.562e+03,2.538e+05
49.2,3.623e+05,3.100e+03,4.049e+03,3.695e+05
50.8,5.544e+05,7.329e+03,1.219e+04,5.740e+05
